key,county,jurisdiction,category,cite,text
Dublin|Section 5.100.110,Alameda County,Dublin,Past Ordinance,Section 5.100.110,"Section 5.100.110 identifies pohibited acts/activities in parks. It states that ""unless expressly authorized by the Director, no person while in any park shall: . . . E. Camp, lodge or remain overnight . . ."""
Eastvale|1af2e3cdad,Riverside County,Eastvale,Past Ordinance,,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags and bed rolls. Adopted 9/5/2024 (post-Grants Pass)"
"El Cajon|El Cajon, Cal. Code § 12.08.010-20",San Diego County,El Cajon,Past Ordinance,"El Cajon, Cal. Code § 12.08.010-20","Prohibited Conduct
(1) Cannot occupy public street/sidewalk/alley for any purpose besides normal pedestrian traffic.
(2) May not loiter in a manner that ""maliciously obstruct[s] or interfere[s] with free passage.""
El Cajon, Cal. Code § 12.08.010-20."
"El Cajon|El Cajon, Cal. Code § 2.56.010",San Diego County,El Cajon,Past Ordinance,"El Cajon, Cal. Code § 2.56.010","Definitions
(1) Camping in parks = living/spending inordinary amount of time in a park with ""camp paraphenelia""
(2) Camp paraphenelia ""includ[es], but [is] not limited to, clothing, sleeping bags, bedrolls, blankets, sheets, luggage, backpacks, kitchen utensils, cookware, and similar material""
El Cajon, Cal. Code § 2.56.010."
"El Cajon|El Cajon, Cal. Code §§ 9.36.020, 9.36.025",San Diego County,El Cajon,Past Ordinance,"El Cajon, Cal. Code §§ 9.36.020, 9.36.025","Prohibited Conduct
Prohibits sleeping or camping on city property
El Cajon, Cal. Code §§ 9.36.020, 9.36.025."
El Segundo|8db9966124,Los Angeles County,El Segundo,Proposed Ordinance,,9/17/24 - El Segundo City Council amended the municipal code with new camping ordinances. Encampments on public property will be given 24 hour clearance notices. PATCHES team offers outreach.
Elk Grove|845bc8f9c1,Sacramento,Elk Grove,Proposed Ordinance,,"Ordinance No. 12-2024: an ordinance of the city council of the city of Elk Grove amending chapter 9.38 of the Elk Grove Municipal Code related to unlawful camping. Elk Grove City Council unanimously passed an amendment to a city ordinance Wednesday that shortens the window of notice city officials must give to those at homeless encampments, or unlawfully camping in the city, to 24 hours before temporarily seizing their property. The previous notice was a 72-hour window. The amendment, the city said, will allow them to respond quicker to camp clean-ups.

Elk Grove will also prohibit the following: “sleeping on public sidewalks, streets, or alleyways; sleeping in any pedestrian or vehicular entrance to public or private property abutting a public sidewalk; occupying a campsite upon any sidewalk, street, alley, lane, public right of way, park, bench, or any other public property and/or under any bridge; and camping on private property without the consent of the property owner.”"
"Encinitas|Encinitas, Cal. Code § 9.01.020 (2004)",San Diego County,Encinitas,Past Ordinance,"Encinitas, Cal. Code § 9.01.020 (2004)","Definitions
""'Camping' is evidenced by, among other things, the establishment of sleeping accommodations; the use of a bedroll or sleeping bag; the erection or maintenance of a shelter""
Encinitas, Cal. Code § 9.01.020 (2004)."
Encinitas|d1a2aa49cd,San Diego County,Encinitas,Proposed Ordinance,,"Introduced Feb. 2025
Proposes collaboration between CA DOT and local gov'ts to clear existing homeless encampments on DOT property and prevent new encampments from forming.
S.B. 569"
"Escondido|Escondido, Cal. Code § 17-7",San Diego County,Escondido,Past Ordinance,"Escondido, Cal. Code § 17-7","Definitions
Camping = ""remaining for prolonged or repetitious periods of time not associated with ordinary recreational use of a park with one's personal property (including, but not limited to, clothing, sleeping bags, bedrolls, blankets, sheets, tents, tarpaulins, luggage, backpacks, kitchen utensils, cookware, and similar material), sleeping or making preparations to sleep, regularly cooking or consuming meals, or living in a parked vehicle""
Escondido, Cal. Code § 17-7"
"Escondido|Escondido, Cal. Code § 17-8.4 (2024)",San Diego County,Escondido,Past Ordinance,"Escondido, Cal. Code § 17-8.4 (2024)","Prohibited Conduct
No camping
(1) where there's an ""unreasonable risk of harm"" to people/public health/public safety or a disruption of vital gov't services
(2) w/in 500 ft of a school zone
(3) w/in 500 ft of a shelter if there's visible signage
(4) In any ""open space, waterway, or bank of a waterway.""
(5) in transit hubs(7) any park or open space where city manager considered camping to pose a substantial public health and safety
Escondido, Cal. Code § 17-8.4 (2024)."
"Escondido|Escondido, Cal. Code § 17-8.5 (2024)",San Diego County,Escondido,Past Ordinance,"Escondido, Cal. Code § 17-8.5 (2024)","Enforcement
(1) Violation is a misdemeanor offense
(2) Subject to removal after 24 hr. written notice/expedited abatement
Escondido, Cal. Code § 17-8.5 (2024)."
Fairfield|808be311f7,Solano County,Fairfield,Policy Change,,Anti-camping ordinances penalty voted just this week to change from infraction to misdo.
Firebaugh|Section 9-1.2,Fresno County,Firebaugh,Past Ordinance,Section 9-1.2,"It shall be unlawful for any person to inhabit any trailer coach standing or parked in or upon any lot or area of land within the City of Firebaugh, or upon any street, alleyway, or place therein and it shall be unlawful for any person to inhabit any tent, hut, or motor home, or to camp on the ground within any such areas in the City of Firebaugh except in a legally constituted and licensed trailer park or camp, provided that when the city may permit it for specified occasions, camping in city parks may be allowed. Section 9-1.2; see Sections 9-1.3 and 9-1.3 for violations and penalties."
Folsom|Chapter 9.100,Sacramento,Folsom,Proposed Ordinance,Chapter 9.100,"The Folsom Police Department started its homeless outreach team (HOT), which will ban unlawful camping on public property, authorities said. Planning to enforce the unlawful camping ordinance, outlined in the Folsom Municipal Code (Chapter 9.100 CAMPING)."
Fontana|8644e748b9,San Bernardino County,Fontana,Past Ordinance,,"Prohibits lingering, loitering, sitting, or standing on commercial or private property(Ch 12.26.)
Prohibits standing or sitting in roadway(Sec 17-228)"
Foster City|19e0e4a283,San Mateo County,Foster City,Past Ordinance,,"No local ordinance found. Refer to the county ordinance.
Foster City has resources for people experiencing homelessness, including housing and support services."
Fowler|Section 5.21.510,Fresno County,Fowler,Past Ordinance,Section 5.21.510,"1. Sleeping and camping in public and certain private places is prohibited.
2. Camping includes use of tents/temporary shelters, use of sleeping bags/beds/hammocks, use of park benches/similar structures, and use of any parked vehicles.
3. It’s not a violation to sleep in a public park between 7am-10pm, or from 10pm-7am in a designated overnight camp area.
4. It is not considered recreational camping when a camp is established with the intent to lodge or reside at that location, remain in that location or park overnight, or remain for a period of more than one consecutive day.
5. In addition to any other remedy or enforcement mechanism, any camp in violation of this section is declared to be a public nuisance, and the Chief of Police or his/her designee is authorized to remove the camp after giving the occupant the opportunity to remove the camp.
(Section 5.21.510 Camping); Note: very similar to Clovis and Parlier"
Fremont|1f9c880d6e,Alameda County,Fremont,Past Ordinance,,"In February 2025, Fremont City Council gave final approval to an ordinance that bans camping throughout the entire city, while also making anyone ""aiding, abetting or concelaing"" a homeless encampment guilty of a misdemeanor. On March 4, they voted to remove the aiding and abetting clause after pushback from the community."
Fresno|c8d6706238,Fresno County,Fresno,Past Ordinance,,"Fresno County (in its entirety) will be one of the first local jurisdictions in the country to implement anti-encampment ordinances.

1. On Aug. 20, 2024 the Fresno County Board of Supervisors passed an anti-encampment ordinance, with enforcement set to begin within the next month.
2. Ordinance violators expect to face criminal penalties including fines and jail time."
Fresno|f74e7de040,Fresno County,Fresno,Past Ordinance,,"Fresno's law, passed Aug. 15, 2024, is among the toughest in the state: banning camping, sitting or lying on public property anytime, anywhere."
Fullerton|f7eeecfdcd,Orange County,Fullerton,Proposed Ordinance,,"March 2025 Further tightening on anti-camping laws, criminalizing of homeless people"
Garden Grove|d8315d685a,Orange County,Garden Grove,Proposed Ordinance,,"Approved Nov. 2024, ""prohibits camping, sleeping, storing personal property on public places, or interfering with public access to public places"""
Glendale|9.28.010-9.28.040,Los Angeles County,Glendale,Past Ordinance,9.28.010-9.28.040,Existing ordinance 9.28.010-9.28.040 prohibited camping. Glendale city council voted to resume enforcement.
Goleta|Municipal Code §10.04.040,Santa Barbara County,Goleta,Past Ordinance,Municipal Code §10.04.040,"Municipal Code §10.04.040 Sleeping, Camping, Use of a Recreational Vehicle for Occupancy on Any Public Street, Highway, Right-of-War or Any Public Property Within the City—Prohibited. Does not allow any overnight parking or camping in a trailer."
Grand Terrace|f84dc7108a,San Bernardino County,Grand Terrace,Past Ordinance,,Prohibits loitering. adopted 1988
Hayward|Section 4-17.20),Alameda County,Hayward,Past Ordinance,Section 4-17.20),"Article 17 of Hayward's municipal code addresses camping and storage of personal property:

1. It’s unlawful to camp, occupy camp facilities or use camp paraphernalia on any City-owned property. (Section 4-17.20)
2. It’s unlawful to store personal property, including camp facilities and camp paraphernalia on any City-owned property. (Section 4-17.25)
3. A violation is declared a public nuisance which may be enjoined by civil action or enforced with citations. (Section 4-17.30)
4. “Camp” means to pitch or occupy camp facilities; to use camp paraphernalia. (Section 4-17.10)
5. Appears to have been last updated in 2014."
Hemet|cca39e0fa9,Riverside County,Hemet,Past Ordinance,,"Under ""disorderly conduct,"" prohibits obstructing public property by sitting/lying/storing personal property (adopted 1/11/2022), eating/resting as well as sleeping in a vehicle (adopted 7/8/2003), and camping on private property (adopted 1/11/2022)"
Hermosa Beach|22b8d53a27,Los Angeles County,Hermosa Beach,Past Ordinance,,"10/31/24 Press release said that anti-camping ordinances will be enforced post Grants Pass. Language: ""Enforcing Public Camping & Loitering Regulations: In line with the recent Supreme Court Grants Pass decision, local laws prohibit camping or sleeping in vehicles on public streets and overnight camping on the beach. Hermosa Beach also enforces laws that prevent loitering in public spaces that obstruct pedestrian movement or cause quality of life impacts.""  - Hermosa is currently considering a new ordinance - return!"
Huntington Beach|79d6719f41,Orange County,Huntington Beach,Past Ordinance,,Seems like the anti-homelessness laws have been strict and unchanged since 2022
Huron|9.12.130,Fresno County,Huron,Past Ordinance,9.12.130,"9.12.130 - Tents prohibited.
No tents may be erected or occupied in the City for the purposes of living or sleeping, except in a campground established for such purpose. All buildings used for living or sleeping purposes shall be erected in accordance with the City Building Code and the State Housing Act.
(Ord. 220 § 1, 1986)"
"Imperial beach|Imperial Beach, Cal. Code § 12.5",San Diego County,Imperial beach,Past Ordinance,"Imperial Beach, Cal. Code § 12.5","Prohibited Conduct
(1) Prohibits camping, lodging, or sleeping on or w/in any public property.
(2) Prohibits storage of personal items on public proeprty
Imperial Beach, Cal. Code § 12.5."
Indian Wells|2c051422db,Riverside County,Indian Wells,Past Ordinance,,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags and bed rolls. Adopted 2012."
Indo|65d6ff46c3,Riverside County,Indo,Past Ordinance,,"Prohibits camping and storing personal property in public spaces. Camping explicitly includes sleeping ""for living accommodation purposes"" and occurs whether or not a full night is spent. Amended 8/21/2024 (post-Grants Pass). Staff report discussing amendment references Grants Pass decision as motivation for amendment."
Irvine|d0dcc3782d,Orange County,Irvine,Proposed Ordinance,,"Nov 2024 Irvine has no homeless shelter, but ability clear out homeless shelters with only 24 hours notice,"
Irwindale|975e4c6c95,Los Angeles County,Irwindale,Proposed Ordinance,,"2024 election - Irwindale passed a measure for a slight sales tax increase to fund, among many other things, ""cleaning up homeless encampments."""
Jurupa Valley|75e175d039,Riverside County,Jurupa Valley,Past Ordinance,,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags and bed rolls. Adopted 9/5/2024 (post-Grants Pass). Exception for ""emergency public health and safety activities."""
Kingsburg|7e19446d39,Fresno County,Kingsburg,Past Ordinance,,"As of Nov. 6, 2024, Kingsburg adopted an ordinance making it unlawful to camp on public and private property and obstruct public rights of way."
La Mesa|2a3c1b5935,San Diego County,La Mesa,Proposed Ordinance,,"Jan. 2025
La Mesa Councilmember calls for policy of removing a homeless person from the city if help is turned down 15 times. No bill."
