"County
,,,,Hemet ,Past Ordinance,"Under ""disorderly conduct,"" prohibits obstructing public property by sitting/lying/storing personal property (adopted 1/11/2022), eating/resting as well as sleeping in a vehicle (adopted 7/8/2003), and camping on private property (adopted 1/11/2022)"
,,,,Indian Wells ,Past Ordinance,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags and bed rolls. Adopted 2012."
,,,,Indo ,Past Ordinance,"Prohibits camping and storing personal property in public spaces. Camping explicitly includes sleeping ""for living accommodation purposes"" and occurs whether or not a full night is spent. Amended 8/21/2024 (post-Grants Pass). Staff report discussing amendment references Grants Pass decision as motivation for amendment."
,,,,Jurupa Valley ,Past Ordinance,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags and bed rolls. Adopted 9/5/2024 (post-Grants Pass). Exception for ""emergency public health and safety activities."""
,,,,La Quinta ,Past Ordinance,"Camping/remaining overnight prohibited in public parks and recreation areas. One of many provisions under ""prohibited conduct"" in parks/rec section. No specific language appearing to target homeless population. (Ord. 568 § 8, 2018; Ord. 510 § 1, 2013; Ord. 360 § 1, 2001; Ord. 10 § 1, 1982)"
,,,,Lake Elsinore ,Past Ordinance,"No comprehensive unlawful camping ordinance, but three separate ordinances that are relevant. One prohibits camping on private property without owner's consent (adopted 2015), one prohibits camping on public parks and beaches (adopted 2016), and one declares shopping carts a public nuisance (adopted 2016). "
,,,,Menifee ,Past Ordinance,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags and bed rolls. Sets out procedure to refer homeless people sitting/lying/sleeping on public property when no shelter is available to ""Outreach & Engagement Personnel"" before arresting or citing them. BUT states that ""These procedures under § 11.21.030(B)(2) are only mandatory during the timeframe that the case of Martin v. City of Boise 902 F.3d 1031 (9th Cir. 2018) is applicable law within the jurisdiction of the Ninth Circuit."" Adopted 10/20/2021."
,,,,Moreno Valley ,Past Ordinance,"Prohibits camping/using camp paraphernalia and storing personal property on public streets, sidewalks, right-of-ways, parks, and any other improved or unimproved public land. ""Camp paraphernalia"" includes sleeping bags and bed rolls. Adopted 2004."
,,,,Norco ,Past Ordinance,"""Camp space and squatter camps"" ordinance prohibitng camping on public/private property unless a number of sanitation requirements are met. Camping defined differently than in many other codes: ""'Camp space' is any place where one or more tents are erected or maintained for hire for living or sleeping quarters for one or more families, or where one or more tents or camp cars or trailers or where one or more families are camping with the expressed consent of the owner or person legally in charge of the land upon which such camp space is located."" Adopted 1964. "
,,,,Palm Desert ,Past Ordinance,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags and bed rolls. Adopted 2009."
,,,,Palm Springs ,Past Ordinance,"Explicitly bans encampments & lays out specific procedures for clearing them. Explicitly bans encampments regardless of shelter bed availability in a number of situations, including ""unreasonable risk to harm or public safety,"" when there is a ""Disruption to any business, store, religious institution, educational facility, or government services,"" and ""in any open space, waterway, or banks of a waterway."" Probably the most comprehensive and strict anti-homeless law I've encountered. "
,,,,Perris ,Past Ordinance,"Two provisions under general sections that may or may not target homeless populations. Under use of public property: Unlawful to ""camp, lodge or tarry overnight"" on any public property. Terms not defined. Adopted 1970. Under use of park and recreation facilities: ""No person shall tent, camp, lodge, or otherwise be present in any park or recreation facility after 11:00 p.m. or before 6:00 a.m."" Adopted 1992."
,,,,Rancho Mirage ,Past Ordinance,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags. Enforcement: public nuisance (not infraction/misdemeanor). Adopted 2019. "
,,,,Riverside ,Past Ordinance,"One ordinance prohibits camping/using camp paraphernalia in public spaces. ""Camp paraphernalia"" includes sleeping bags. Enforcement: public nuisance (not infraction/misdemeanor). Adopted 2022. Another prohibits sitting/lying on sidewalks, lying on public benches, and distributing food to large groups of people w/o permit. Adopted 2021."
,,,,Temecula ,Past Ordinance,Prohibits camping/using camp paraphernalia (including bed rolls and sleeping bags) in public spaces. Also prohibits lying on public benches.
,,,,Wildomar ,Past Ordinance,"Prohibits camping without a permit, although doesn't seem to target the homeless population. Also prohibits storing personal property in public spaces. Adopted 2018."
San Bernardino County,Charter,"2,195,611","20,062 sq mi
(51,960 km2)",Adelanto ,Past Ordinance,Prohibits sitting or lying on public ways
,,,,Apple Valley ,Past Ordinance,"Prohibits sitting or lying on public ways / camping and sleeping outdoors or in a vehicle, or park a recreational vehicle overnight in a public location. Adopted 2005"
,,,,Barstow ,Past Ordinance,"Prohibits sitting or lying on public ways, adopted 1987 / prohibited camping in public park, Adpoted 2008-2010"
,,,,Big Bear Lake ,Past Ordinance,"Prohibited caamping and loitering, storage personal property, adopted in 2019. Penalty"
,,,,Chino Hills ,Past Ordinance,Prohibits camping in city owned space / Enforcement
,,,,Chino Hills ,Past Ordinance,[Chino]
,,,,Colton ,Past Ordinance,Prohibits camping or store personal property on public property / Enforcement. Adopted in 2011
,,,,Fontana ,Past Ordinance,"Prohibits lingering, loitering, sitting, or standing on commercial or private property(Ch 12.26.)
Prohibits standing or sitting in roadway(Sec 17-228)"
,,,,Grand Terrace ,Past Ordinance,Prohibits loitering. adopted 1988
,,,,Hesperia ,,no ordinances re camping/loitering
,,,,Highland ,,no ordinances re camping/loitering
,,,,Loma Linda ,,no ordinances re camping/loitering
,,,,Montclair ,,no ordinances re camping/loitering
,,,,Needles ,,no ordinances re camping/loitering
,,,,Ontario ,Past Ordinance,"Prohibited camping in park, street, public parking area. Adopted 1995 and amended 2010
Prohibited storing personal property. Adopted 1995"
,,,,Rancho Cucamonga ,Past Ordinance,Prohibited loitering in designated public places or in front of buildings. Adopted in 2008
,,,,Redlands ,Past Ordinance,Prohibited camping and storage of personal property in public places. Enforcement. Adopted in 2015
,,,,Rialto ,,no ordinances re camping/loitering
,,,,San Bernardino ,Past Ordinance,Prohibited camping and storing personal property in public places. Adopted 1995
,,,,Twenynine Palms ,,no ordinances re camping/loitering
,,,,Upland ,Past Ordinance,Prohibits camping or store personal property on public property / Enforcement. Adopted in 2022
,,,,Victorville ,Past Ordinance,Prohibits camping or store personal property on public property / Penalties. Adopted in 2023
,,,,Yucaipa ,Past Ordinance,Prohibits camping or store personal property on public property / Enforcement. Adopted in 2023
,,,,Yucca Valley ,Past Ordinance,camping in vehicle prohibited. Adopted in 2014
Santa Clara County,Charter,"1,877,592","1,291 sq mi
(3,344 km2)",Santa Clara,Proposed Ordinance,"""Good Neighbor Program"": The ordinance would prohibit camping within Water Resources Protection Zones, which include all lands where Valley Water owns property or has easements. Violations could result in fines of up to $500 and jail time of up to 30 days.

The ordinance would ban:
1. Unauthorized establishment of encampments
2. Any unauthorized presence in established zones after sunset
3. Depositing trash, debris, or hazardous pollutants related to encampments
4. Keeping animals in established zones
5. Activities that disturb neighboring properties or create hazards for Valley Water employees or the public"
,,,,San José,Proposed Ordinance,"The city of San José has adopted new restrictions on encampments near schools:

1. The city council unanimously voted to ban all homeless encampments within 150 feet of K-12 schools citywide by establishing ""School Clearance Zones"".
2. This rule formalizes and slightly expands on a similar policy the city already had in place
3. Violators would be given a $0 administrative citation, with no criminal enforcement"
,,,,San José,Proposed Ordinance,"San José has also implemented tougher rules on RV parking:

1. The city can now tow large vehicles in areas where parked cars create safety hazards for drivers, pedestrians, and cyclists.
2. This policy is particularly focused on areas near schools"
Alameda County,Charter,"1,622,188","738 sq mi
(1,911 km2)",Albany,Past Ordinance,"Section 8-4.4 of the municipal code addresses camping specifically:

1. It states that “it is unlawful for any person to engage in camping in any City-owned property”
2. Where camping means “to set up, pitch, occupy, or leave camp facilities or use camp paraphernalia” (§8-4.2)
3. HOWEVER, it “will not be enforced against indigent homeless persons sitting, lying, or sleeping on City-owned public property” with some exceptions
4. This section of the municipal code appears to have been last amended on June 7, 2021"
