name,jurisdiction_type,lat,lon,source
Newman,city,37.316128,-121.021424,census_gazetteer_2024
Newport Beach,city,33.597332,-117.890352,census_gazetteer_2024
Norco,city,33.925519,-117.551958,census_gazetteer_2024
Norwalk,city,33.9076,-118.083453,census_gazetteer_2024
Novato,city,38.085087,-122.548272,census_gazetteer_2024
Oakdale,city,37.761666,-120.846434,census_gazetteer_2024
Oakland,city,37.769846,-122.22569,census_gazetteer_2024
Oakley,city,37.996149,-121.693624,census_gazetteer_2024
Oceanside,city,33.224601,-117.306291,census_gazetteer_2024
Ojai,city,34.449199,-119.246664,census_gazetteer_2024
Ontario,city,34.037648,-117.604433,census_gazetteer_2024
Orange,city,33.786971,-117.861265,census_gazetteer_2024
Orange Cove,city,36.621371,-119.318737,census_gazetteer_2024
Orinda,city,37.88161,-122.168595,census_gazetteer_2024
Orland,city,39.746146,-122.185731,census_gazetteer_2024
Oroville,city,39.495423,-121.560069,census_gazetteer_2024
Oxnard,city,34.199436,-119.207515,census_gazetteer_2024
Pacific Grove,city,36.622577,-121.92643,census_gazetteer_2024
Pacifica,city,37.606598,-122.47723,census_gazetteer_2024
Palm Desert,city,33.737635,-116.364145,census_gazetteer_2024
Palm Springs,city,33.803361,-116.53828,census_gazetteer_2024
Palmdale,city,34.591038,-118.105403,census_gazetteer_2024
Palo Alto,city,37.39652,-122.143088,census_gazetteer_2024
Palos Verdes Estates,city,33.774271,-118.425754,census_gazetteer_2024
Paradise,city,39.754192,-121.6064,census_gazetteer_2024
Paramount,city,33.898883,-118.166629,census_gazetteer_2024
Parlier,city,36.608899,-119.543656,census_gazetteer_2024
Pasadena,city,34.160602,-118.137954,census_gazetteer_2024
Patterson,city,37.475876,-121.153882,census_gazetteer_2024
Perris,city,33.789849,-117.222171,census_gazetteer_2024
Petaluma,city,38.242251,-122.628769,census_gazetteer_2024
Pico Rivera,city,33.989524,-118.089295,census_gazetteer_2024
Piedmont,city,37.822545,-122.230024,census_gazetteer_2024
Pinole,city,38.001702,-122.318488,census_gazetteer_2024
Pismo Beach,city,35.153173,-120.673874,census_gazetteer_2024
Pittsburg,city,38.016771,-121.896948,census_gazetteer_2024
Placentia,city,33.881158,-117.854783,census_gazetteer_2024
Placerville,city,38.731116,-120.797677,census_gazetteer_2024
Pleasant Hill,city,37.954163,-122.075772,census_gazetteer_2024
Pleasanton,city,37.667185,-121.88123,census_gazetteer_2024
Plymouth,city,38.471741,-120.857194,census_gazetteer_2024
Point Arena,city,38.912306,-123.695609,census_gazetteer_2024
Pomona,city,34.058494,-117.761091,census_gazetteer_2024
Port Hueneme,city,34.162143,-119.204177,census_gazetteer_2024
Porterville,city,36.063542,-119.0336,census_gazetteer_2024
Portola,city,39.820799,-120.474293,census_gazetteer_2024
Portola Valley,city,37.365191,-122.232724,census_gazetteer_2024
Poway,city,32.987677,-117.021814,census_gazetteer_2024
Rancho Cordova,city,38.577079,-121.236187,census_gazetteer_2024
Rancho Cucamonga,city,34.130306,-117.566067,census_gazetteer_2024
Rancho Mirage,city,33.763838,-116.430388,census_gazetteer_2024
Rancho Palos Verdes,city,33.738517,-118.369685,census_gazetteer_2024
Rancho Santa Margarita,city,33.632332,-117.599008,census_gazetteer_2024
Red Bluff,city,40.173515,-122.241525,census_gazetteer_2024
Redding,city,40.570277,-122.366766,census_gazetteer_2024
Redlands,city,34.053506,-117.170476,census_gazetteer_2024
Redondo Beach,city,33.849538,-118.400755,census_gazetteer_2024
Redwood City,city,37.515274,-122.213672,census_gazetteer_2024
Reedley,city,36.599374,-119.447781,census_gazetteer_2024
Rialto,city,34.117419,-117.389215,census_gazetteer_2024
Richmond,city,37.952278,-122.360609,census_gazetteer_2024
Ridgecrest,city,35.628542,-117.663992,census_gazetteer_2024
Rio Dell,city,40.49557,-124.115163,census_gazetteer_2024
Rio Vista,city,38.176672,-121.703406,census_gazetteer_2024
Ripon,city,37.742007,-121.130373,census_gazetteer_2024
Riverbank,city,37.726022,-120.94484,census_gazetteer_2024
Riverside,city,33.938143,-117.393168,census_gazetteer_2024
Rocklin,city,38.806868,-121.249696,census_gazetteer_2024
Rohnert Park,city,38.347617,-122.700896,census_gazetteer_2024
Rolling Hills,city,33.760016,-118.347168,census_gazetteer_2024
Rolling Hills Estates,city,33.778442,-118.327432,census_gazetteer_2024
Rosemead,city,34.06888,-118.08268,census_gazetteer_2024
Roseville,city,38.770296,-121.319634,census_gazetteer_2024
Ross,city,37.963821,-122.561614,census_gazetteer_2024
Sacramento,city,38.567694,-121.468161,census_gazetteer_2024
Salinas,city,36.690217,-121.633793,census_gazetteer_2024
San Anselmo,city,37.982117,-122.569921,census_gazetteer_2024
San Bernardino,city,34.14114,-117.294635,census_gazetteer_2024
San Bruno,city,37.62556,-122.431397,census_gazetteer_2024
San Buenaventura (Ventura),city,34.26778,-119.254206,census_gazetteer_2024
San Carlos,city,37.499034,-122.267572,census_gazetteer_2024
San Clemente,city,33.449143,-117.61312,census_gazetteer_2024
San Diego,city,32.814977,-117.135562,census_gazetteer_2024
San Dimas,city,34.107957,-117.808529,census_gazetteer_2024
San Fernando,city,34.288652,-118.436243,census_gazetteer_2024
San Francisco,city,37.727239,-123.032229,census_gazetteer_2024
San Gabriel,city,34.094636,-118.098469,census_gazetteer_2024
San Jacinto,city,33.798864,-116.995914,census_gazetteer_2024
San Joaquin,city,36.60559,-120.189766,census_gazetteer_2024
San Jose,city,37.296011,-121.814552,census_gazetteer_2024
San Juan Bautista,city,36.845132,-121.536949,census_gazetteer_2024
San Juan Capistrano,city,33.500889,-117.654388,census_gazetteer_2024
San Leandro,city,37.703368,-122.163036,census_gazetteer_2024
San Luis Obispo,city,35.266195,-120.668438,census_gazetteer_2024
San Marcos,city,33.132567,-117.169892,census_gazetteer_2024
San Marino,city,34.122671,-118.112911,census_gazetteer_2024
San Mateo,city,37.56031,-122.3106,census_gazetteer_2024
San Pablo,city,37.962861,-122.342581,census_gazetteer_2024
San Rafael,city,37.981003,-122.50693,census_gazetteer_2024
San Ramon,city,37.765258,-121.931987,census_gazetteer_2024
Sand City,city,36.62177,-121.847668,census_gazetteer_2024
Sanger,city,36.701219,-119.557396,census_gazetteer_2024
Santa Ana,city,33.736332,-117.8829,census_gazetteer_2024
Santa Barbara,city,34.403592,-119.713714,census_gazetteer_2024
Santa Clara,city,37.364621,-121.967973,census_gazetteer_2024
Santa Clarita,city,34.416504,-118.500693,census_gazetteer_2024
Santa Cruz,city,36.974385,-122.035268,census_gazetteer_2024
Santa Fe Springs,city,33.933565,-118.062611,census_gazetteer_2024
Santa Maria,city,34.933076,-120.443559,census_gazetteer_2024
Santa Monica,city,34.010911,-118.498245,census_gazetteer_2024
Santa Paula,city,34.354941,-119.066271,census_gazetteer_2024
Santa Rosa,city,38.445824,-122.706181,census_gazetteer_2024
Santee,city,32.85499,-116.986056,census_gazetteer_2024
Saratoga,city,37.268326,-122.02622,census_gazetteer_2024
Sausalito,city,37.858369,-122.491844,census_gazetteer_2024
